territorio_codigo;territorio_nome;populacao_2022;variacao_absoluta_pop_2010_2022;taxa_crescimento_geometrico_pct;pib_mil_reais_2022;pib_mil_reais_2021;pib_per_capita_2022;variacao_pib_nominal_2021_2022_pct;vab_total_mil_reais_2021;vab_agropecuaria_mil_reais_2021;participacao_agropecuaria_2021_pct;vab_industria_mil_reais_2021;participacao_industria_2021_pct;vab_servicos_mil_reais_2021;participacao_servicos_2021_pct;vab_adm_publica_mil_reais_2021;participacao_adm_publica_2021_pct;perfil_setorial_dominante;cempre_unidades_locais;cempre_empresas;cempre_pessoal_ocupado_total;cempre_pessoal_ocupado_assalariado;proporcao_assalariados_pct;unidades_locais_por_mil_hab;intensidade_ocupacao_formal_pct;cempre_salarios_mil_reais_2022;cempre_salario_medio_mensal_reais;salarios_por_assalariado_mil_reais
2304707;Granja;53344.0;1627.0;0.26;514903;469407.0;9652.50074985003;9.692228705579593;445611.0;64860.0;14.56;19260.0;4.32;140722.0;31.58;220770.0;49.54;Adm_publica;653.0;624.0;3981.0;3423.0;85.98342125094197;12.24130173965207;7.462882423515296;96062.0;2025.1;28.06368682442302
2304806;Granjeiro;4841.0;-184.0;-0.31;55419;51337.0;11447.841355091923;7.951380096226893;49685.0;10225.0;20.58;1717.0;3.46;10300.0;20.73;27444.0;55.24;Adm_publica;80.0;79.0;556.0;499.0;89.74820143884892;16.525511258004546;11.485230324313159;11701.0;1702.83;23.448897795591183
2304905;Groaíras;10910.0;763.0;0.61;123687;110755.0;11337.030247479377;11.676222292447294;103322.0;10043.0;9.72;5890.0;5.7;33769.0;32.68;53620.0;51.9;Adm_publica;313.0;310.0;1247.0;956.0;76.66399358460305;28.689275893675525;11.429880843263062;25133.0;1824.91;26.289748953974897
2304954;Guaiúba;24325.0;821.0;0.29;272368;231993.0;11197.040082219939;17.40354234826051;220362.0;23415.0;10.63;15170.0;6.88;65325.0;29.64;116452.0;52.85;Adm_publica;369.0;364.0;2378.0;1944.0;81.74936921783012;15.169578622816033;9.775950668037;48983.0;1944.78;25.19701646090535
2305001;Guaraciaba do Norte;42053.0;3505.0;0.73;728027;669209.0;17312.1299312772;8.789182452716565;632140.0;252867.0;40.0;19745.0;3.12;181927.0;28.78;177601.0;28.1;Agropecuaria;926.0;894.0;3899.0;2985.0;76.55809181841498;22.019832116614747;9.271633414976339;80255.0;2159.72;26.88609715242881
2305100;Guaramiranga;5654.0;10.0;0.01;94083;80396.0;16640.077821011673;17.02447882979253;76568.0;9979.0;13.03;3213.0;4.2;32717.0;42.73;30660.0;40.04;Servicos;249.0;242.0;1208.0;952.0;78.80794701986756;44.03961796957906;21.365405022992572;21126.0;1736.05;22.191176470588236
2305209;Hidrolândia;17855.0;-1041.0;-0.47;204119;185025.0;11432.035844301316;10.319686528847454;176984.0;32788.0;18.53;8759.0;4.95;53115.0;30.01;82322.0;46.51;Adm_publica;338.0;336.0;1560.0;1246.0;79.87179487179488;18.93027163259591;8.737048445813498;31182.0;1921.85;25.025682182985555
2305233;Horizonte;74755.0;19568.0;2.56;2501483;2116782.0;33462.417229616745;18.17386013297543;1764781.0;103735.0;5.88;740785.0;41.98;609647.0;34.55;310614.0;17.6;Industria;1653.0;1508.0;22530.0;20922.0;92.86284953395473;22.112233295431743;30.138452277439637;497819.0;1875.79;23.794044546410476
2305266;Ibaretama;11956.0;-983.0;-0.66;144293;132265.0;12068.668450986952;9.093864590027597;126040.0;21880.0;17.36;4728.0;3.75;33518.0;26.59;65914.0;52.3;Adm_publica;210.0;208.0;1078.0;915.0;84.87940630797773;17.564402810304447;9.01639344262295;24966.0;2229.77;27.285245901639342
2305308;Ibiapina;23965.0;239.0;0.08;380747;348540.0;15887.627790527853;9.240546278762839;329903.0;94854.0;28.75;36953.0;11.2;83134.0;25.2;114962.0;34.85;Adm_publica;430.0;414.0;1983.0;1566.0;78.9712556732224;17.9428332985604;8.274567076987273;44243.0;2207.16;28.252234993614305
2305332;Ibicuitinga;11611.0;276.0;0.2;125308;124951.0;10792.179829472052;0.28571199910364864;119407.0;19062.0;15.96;4144.0;3.47;32427.0;27.16;63774.0;53.41;Adm_publica;188.0;185.0;1153.0;991.0;85.94969644405897;16.19154250279907;9.93023856687624;23934.0;1990.84;24.151362260343088
2305357;Icapuí;21433.0;3041.0;1.28;400632;411021.0;18692.296925302104;-2.527608078419351;380054.0;52514.0;13.82;118421.0;31.16;103076.0;27.12;106043.0;27.9;Industria;670.0;658.0;4464.0;3792.0;84.94623655913979;31.260206224047028;20.82769560957402;99269.0;2227.64;26.178533755274263
2305407;Icó;62642.0;-2715.0;-0.35;796420;737489.0;12713.834168768557;7.990763252062065;688844.0;110148.0;15.99;42021.0;6.1;261107.0;37.91;275568.0;40.0;Adm_publica;1191.0;1147.0;6520.0;5275.0;80.90490797546013;19.012802911784423;10.408352223747645;120751.0;1893.53;22.891184834123223
2305506;Iguatu;98064.0;2821.0;0.24;2054539;1904815.0;20951.001386849406;7.860290894391318;1695044.0;225091.0;13.28;147308.0;8.69;884619.0;52.19;438026.0;25.84;Servicos;3526.0;3346.0;18052.0;14299.0;79.21005982716596;35.956110295317345;18.408386359928212;358299.0;1927.93;25.05762640744108
2305605;Independência;24024.0;-1549.0;-0.52;347468;306809.0;14463.369963369963;13.252218807140597;295055.0;113623.0;38.51;12412.0;4.21;69067.0;23.41;99953.0;33.88;Agropecuaria;552.0;536.0;1877.0;1340.0;71.39051678209908;22.977022977022976;7.8130203130203135;37853.0;2157.38;28.248507462686568
